,Date,Dollar in PKR,high ex rate in PKR,low ex rate in PKR,change in ex rate (PKR) %,Dollar in INR,high ex rate in INR,low ex rate in INR,change in ex rate (INR) %
1031,03/28/2004,57.3,57.68,57.1,0.04%,43.6,44.47,43.3,-1.85%
1032,03/21/2004,57.275,57.645,56.85,-0.02%,44.42,45.185,44.32,-1.67%
1033,03/14/2004,57.285,57.63,56.7,-0.35%,45.175,45.292,45.125,-0.21%
1034,03/07/2004,57.485,57.495,57.05,0.48%,45.27,45.332,45.19,-0.12%
1035,02/29/2004,57.21,57.46,57.0,-0.33%,45.325,45.357,45.145,0.27%
1036,02/22/2004,57.4,57.45,57.1,-0.11%,45.205,45.352,45.195,-0.15%
1037,02/15/2004,57.465,57.635,57.0,0.16%,45.275,45.35,45.215,0.19%
1038,02/08/2004,57.375,57.595,56.95,0.38%,45.19,45.32,45.15,-0.21%
1039,02/01/2004,57.16,57.64,56.75,-0.81%,45.285,45.36,45.135,0.03%
1040,01/25/2004,57.625,57.625,56.95,0.45%,45.27,45.49,45.21,-0.25%
1041,01/18/2004,57.365,57.535,57.1,-0.45%,45.385,45.502,45.315,-0.03%
1042,01/11/2004,57.625,57.625,57.1,0.72%,45.4,45.52,45.35,-0.07%
1043,01/04/2004,57.215,57.585,57.0,-0.06%,45.43,45.707,45.34,-0.46%
1044,12/28/2003,57.25,57.65,57.1,-0.38%,45.64,45.76,45.47,0.42%
1045,12/21/2003,57.468,57.472,57.1,0.41%,45.45,45.66,45.45,0.00%
1046,12/14/2003,57.235,57.545,57.05,0.15%,45.45,45.615,45.45,-0.15%
1047,12/07/2003,57.15,57.535,56.95,-0.35%,45.52,45.605,45.43,-0.11%
1048,11/30/2003,57.35,57.41,57.0,-0.35%,45.57,45.83,45.54,-0.44%
1049,11/23/2003,57.55,57.985,56.8,0.70%,45.77,46.02,45.72,0.12%
1050,11/16/2003,57.15,57.4,56.9,-0.38%,45.715,45.965,45.375,0.78%
1051,11/09/2003,57.37,57.53,57.0,0.24%,45.36,45.49,45.21,0.13%
1052,11/02/2003,57.235,57.935,57.17,-0.24%,45.3,45.38,45.18,-0.04%
1053,10/26/2003,57.375,57.525,57.1,0.06%,45.32,45.47,45.21,0.01%
1054,10/19/2003,57.34,57.63,56.2,-0.06%,45.315,45.415,45.215,0.02%
1055,10/12/2003,57.375,57.565,57.23,-0.03%,45.305,45.795,45.225,-0.17%
1056,10/05/2003,57.395,57.695,57.25,-0.84%,45.38,45.492,45.2,0.12%
1057,09/28/2003,57.88,58.03,57.5,0.17%,45.325,45.875,45.305,-0.86%
1058,09/21/2003,57.78,57.92,57.5,0.27%,45.72,45.95,45.7,-0.37%
1059,09/14/2003,57.625,57.935,57.5,-0.22%,45.89,46.12,45.75,0.31%
1060,09/07/2003,57.75,57.885,57.5,0.13%,45.75,45.975,45.65,-0.21%
1061,08/31/2003,57.675,57.83,57.55,-0.03%,45.845,45.985,45.785,-0.03%
1062,08/24/2003,57.695,57.835,57.55,0.00%,45.86,45.99,45.72,0.08%
1063,08/17/2003,57.695,57.855,57.55,-0.05%,45.825,45.935,45.735,-0.20%
1064,08/10/2003,57.725,57.875,57.55,0.06%,45.915,46.065,45.825,-0.16%
1065,08/03/2003,57.69,57.84,57.45,-0.01%,45.99,46.182,45.88,-0.38%
1066,07/27/2003,57.695,57.805,57.5,0.08%,46.165,46.255,46.065,0.11%
1067,07/20/2003,57.65,57.82,57.5,0.00%,46.115,46.31,46.055,-0.18%
1068,07/13/2003,57.65,57.87,57.5,-0.17%,46.2,46.4,46.01,0.33%
1069,07/06/2003,57.75,57.92,57.6,0.00%,46.05,46.39,46.05,-0.54%
1070,06/29/2003,57.75,57.87,57.6,0.09%,46.3,46.575,46.3,-0.33%
1071,06/22/2003,57.7,57.95,57.6,0.07%,46.455,46.74,46.325,-0.05%
1072,06/15/2003,57.66,57.93,57.56,0.00%,46.48,46.8,46.48,-0.36%
1073,06/08/2003,57.66,57.83,57.55,-0.07%,46.65,46.985,46.55,-0.38%
1074,06/01/2003,57.7,57.85,57.57,0.21%,46.83,47.3,46.79,-0.40%
1075,05/25/2003,57.58,57.8,57.4,-0.38%,47.02,47.15,46.8,0.43%
1076,05/18/2003,57.8,57.875,57.45,0.00%,46.82,47.16,46.797,-0.53%
1077,05/11/2003,57.8,57.88,57.6,0.00%,47.07,47.25,47.07,-0.17%
1078,05/04/2003,57.8,57.895,57.65,0.09%,47.15,47.4,47.15,-0.32%
1079,04/27/2003,57.75,57.895,57.6,0.09%,47.3,47.442,47.3,-0.04%
1080,04/20/2003,57.7,57.89,57.65,-0.16%,47.32,47.425,47.25,0.06%
1081,04/13/2003,57.79,57.81,57.6,0.10%,47.29,47.422,47.29,-0.08%
1082,04/06/2003,57.73,57.83,57.55,-0.08%,47.33,47.53,47.3,-0.13%
1083,03/30/2003,57.775,58.075,57.7,-0.52%,47.39,47.592,47.3,-0.23%
1084,03/23/2003,58.075,58.075,57.65,0.48%,47.5,47.73,47.45,-0.23%
1085,03/16/2003,57.795,57.855,57.77,0.12%,47.61,47.88,47.6,0.00%
1086,03/09/2003,57.725,58.015,57.55,-0.37%,47.61,47.73,47.55,-0.08%
1087,03/02/2003,57.94,58.08,57.7,-0.29%,47.65,47.83,47.65,0.08%
1088,02/23/2003,58.11,58.165,57.7,0.54%,47.61,47.812,47.61,-0.03%
1089,02/16/2003,57.8,58.21,57.6,0.00%,47.625,47.875,47.525,-0.45%
1090,02/09/2003,57.8,58.15,57.7,-0.33%,47.84,47.97,47.55,0.36%
1091,02/02/2003,57.99,58.51,57.9,-0.10%,47.67,47.84,47.65,-0.27%
1092,01/26/2003,58.05,58.51,57.85,-0.19%,47.8,48.007,47.75,-0.10%
1093,01/19/2003,58.16,58.18,57.95,0.15%,47.85,48.012,47.85,-0.13%
1094,01/12/2003,58.075,58.825,57.95,-0.17%,47.91,48.03,47.85,-0.08%
1095,01/05/2003,58.175,58.625,58.01,0.07%,47.95,48.062,47.89,-0.06%
1096,12/29/2002,58.135,58.625,58.01,-0.07%,47.98,48.085,47.91,0.04%
1097,12/22/2002,58.175,58.665,58.05,-0.26%,47.96,48.085,47.96,-0.04%
1098,12/15/2002,58.325,58.775,58.15,0.00%,47.98,48.227,47.98,-0.35%
1099,12/08/2002,58.325,58.695,57.9,-0.05%,48.15,48.3,48.13,-0.08%
1100,12/01/2002,58.355,58.545,57.9,0.17%,48.19,48.4,48.15,-0.25%
1101,11/24/2002,58.255,58.645,58.13,-0.21%,48.31,48.385,48.18,0.29%
1102,11/17/2002,58.375,58.725,58.2,0.09%,48.17,48.3,48.16,-0.02%
1103,11/10/2002,58.325,58.845,58.2,-0.51%,48.18,48.345,48.17,-0.12%
1104,11/03/2002,58.625,59.125,58.5,-0.42%,48.24,48.392,48.24,-0.14%
1105,10/27/2002,58.875,59.225,58.6,0.00%,48.31,48.53,48.3,-0.10%
1106,10/20/2002,58.875,59.225,58.75,-0.25%,48.36,48.487,48.31,-0.06%
1107,10/13/2002,59.025,59.245,58.9,-0.08%,48.39,48.462,48.25,0.17%
1108,10/06/2002,59.075,59.295,58.9,0.00%,48.31,48.42,48.29,-0.04%
1109,09/29/2002,59.075,59.28,58.85,-0.08%,48.33,48.43,48.305,-0.04%
1110,09/22/2002,59.125,59.315,59.0,0.00%,48.35,48.47,48.35,-0.12%
1111,09/15/2002,59.125,59.425,59.0,-0.17%,48.41,48.52,48.35,-0.02%
1112,09/08/2002,59.225,59.525,59.1,-0.17%,48.42,48.61,48.35,-0.21%
1113,09/01/2002,59.325,59.525,59.2,0.00%,48.52,48.63,48.35,0.10%
1114,08/25/2002,59.325,59.575,59.15,-0.34%,48.47,48.59,48.35,-0.06%
1115,08/18/2002,59.525,59.675,59.3,0.17%,48.5,48.652,48.5,-0.10%
1116,08/11/2002,59.425,59.725,59.3,-0.17%,48.55,48.685,48.53,-0.14%
1117,08/04/2002,59.525,59.725,59.4,0.00%,48.62,48.767,48.59,-0.02%
1118,07/28/2002,59.525,59.725,59.25,0.00%,48.63,48.825,48.63,-0.06%
1119,07/21/2002,59.525,59.875,59.4,-0.17%,48.66,48.775,48.64,-0.08%
1120,07/14/2002,59.625,59.875,59.45,-0.27%,48.7,48.89,48.7,-0.10%
1121,07/07/2002,59.785,60.265,59.66,-0.57%,48.75,48.872,48.75,-0.12%
1122,06/30/2002,60.125,60.225,59.85,0.20%,48.81,48.925,48.75,-0.10%
1123,06/23/2002,60.005,60.195,59.8,-0.13%,48.86,48.957,48.81,-0.08%
1124,06/16/2002,60.085,60.225,59.8,-0.07%,48.9,49.057,48.8,-0.16%
1125,06/09/2002,60.125,60.325,60.0,0.00%,48.98,49.08,48.95,-0.04%
1126,06/02/2002,60.125,60.315,59.95,0.08%,49.0,49.105,48.96,-0.02%
1127,05/26/2002,60.075,60.285,59.9,0.08%,49.01,49.092,48.95,0.08%
1128,05/19/2002,60.025,60.245,59.9,-0.08%,48.97,49.11,48.95,-0.04%
1129,05/12/2002,60.075,60.275,59.9,0.08%,48.99,49.12,48.97,0.04%
1130,05/05/2002,60.025,60.285,59.85,0.08%,48.97,49.05,48.9,0.04%
1131,04/28/2002,59.975,60.275,59.85,0.00%,48.95,49.05,48.9,0.02%
1132,04/21/2002,59.975,60.215,59.85,-0.08%,48.94,49.102,48.87,0.14%
1133,04/14/2002,60.025,60.295,59.9,0.00%,48.87,49.012,48.87,-0.04%
1134,04/07/2002,60.025,60.295,59.9,-0.08%,48.89,49.005,48.8,0.16%
1135,03/31/2002,60.075,60.315,59.9,0.08%,48.81,48.99,48.77,0.06%
1136,03/24/2002,60.025,60.305,59.9,0.00%,48.78,48.9,48.7,0.06%
1137,03/17/2002,60.025,60.295,59.8,0.00%,48.75,48.827,48.69,0.14%
1138,03/10/2002,60.025,60.305,59.7,-0.08%,48.68,48.812,48.68,-0.06%
1139,03/03/2002,60.075,60.365,59.85,0.00%,48.71,48.827,48.65,0.00%
1140,02/24/2002,60.075,60.285,59.9,0.04%,48.71,48.93,48.7,-0.06%
1141,02/17/2002,60.05,60.36,59.9,0.00%,48.74,48.805,48.59,0.16%
1142,02/10/2002,60.05,60.34,59.8,-0.17%,48.66,48.78,48.62,0.02%
1143,02/03/2002,60.15,60.36,59.85,0.08%,48.65,48.815,48.51,0.31%
1144,01/27/2002,60.1,60.46,59.85,0.00%,48.5,48.655,48.28,0.35%
1145,01/20/2002,60.1,60.39,59.85,0.08%,48.33,48.412,48.05,0.23%
1146,01/13/2002,60.05,60.37,59.85,0.08%,48.22,48.445,48.22,-0.35%
1147,01/06/2002,60.0,60.45,59.85,-1.09%,48.39,48.465,48.22,0.33%
1148,12/30/2001,60.66,60.75,59.75,-0.15%,48.23,48.367,48.077,-0.02%
1149,12/23/2001,60.75,60.75,60.0,0.00%,48.24,48.4,47.75,0.92%
1150,12/16/2001,60.75,60.88,60.3,0.00%,47.8,47.887,47.75,-0.02%
1151,12/09/2001,60.75,61.0,60.3,0.50%,47.81,47.945,47.77,0.00%
1152,12/02/2001,60.45,61.05,60.3,-0.58%,47.81,48.007,47.81,-0.25%
1153,11/25/2001,60.8,61.05,60.55,-0.08%,47.93,48.09,47.89,-0.25%
1154,11/18/2001,60.85,61.34,60.5,-0.49%,48.05,48.45,47.94,0.15%
1155,11/11/2001,61.15,61.48,60.85,0.25%,47.98,48.115,47.8,-0.04%
1156,11/04/2001,61.0,61.58,60.6,-0.65%,48.0,48.1,47.95,0.02%
1157,10/28/2001,61.4,61.78,61.15,-0.32%,47.99,48.052,47.72,0.04%
1158,10/21/2001,61.6,62.1,61.35,-0.65%,47.97,48.147,47.95,-0.12%
1159,10/14/2001,62.0,62.3,61.8,0.00%,48.03,48.107,47.95,0.02%
1160,10/07/2001,62.0,62.0,61.85,-0.88%,48.02,48.26,48.0,0.04%
1161,09/30/2001,62.55,62.55,62.4,-2.42%,48.0,48.072,47.85,0.31%
1162,09/23/2001,64.1,64.1,63.95,-0.23%,47.85,48.02,47.85,-0.37%
1163,09/16/2001,64.25,64.25,64.1,0.19%,48.03,48.135,47.75,0.48%
1164,09/09/2001,64.125,64.125,64.1,0.43%,47.8,47.88,47.13,1.23%
1165,09/02/2001,63.85,63.85,63.7,-0.16%,47.22,47.315,47.12,0.21%
1166,08/26/2001,63.95,63.95,63.8,-0.23%,47.12,47.25,47.1,0.00%
1167,08/19/2001,64.1,64.1,63.95,0.08%,47.12,47.18,47.1,0.00%
1168,08/12/2001,64.05,64.05,63.9,0.23%,47.12,47.18,47.1,0.00%
1169,08/05/2001,63.9,63.9,63.75,-0.23%,47.12,47.212,47.06,0.00%
1170,07/29/2001,64.05,64.05,63.9,0.20%,47.12,47.62,47.08,-0.04%
1171,07/22/2001,63.925,63.925,63.75,0.59%,47.14,47.22,47.1,0.04%
1172,07/15/2001,63.55,63.55,63.4,-0.47%,47.12,47.22,47.1,-0.08%
1173,07/08/2001,63.85,63.85,63.7,-0.39%,47.16,47.235,47.12,0.08%
1174,07/01/2001,64.1,64.1,64.0,0.39%,47.12,47.25,47.03,0.17%
1175,06/24/2001,63.85,63.85,63.7,0.55%,47.04,47.12,46.95,0.11%
1176,06/17/2001,63.5,63.5,63.25,0.71%,46.99,47.067,46.95,-0.02%
1177,06/10/2001,63.05,63.05,62.8,0.96%,47.0,47.11,46.85,0.11%
1178,06/03/2001,62.45,62.45,62.2,-2.04%,46.95,47.1,46.85,-0.11%
1179,05/27/2001,63.75,63.75,63.5,2.08%,47.0,47.13,46.94,0.06%
1180,05/20/2001,62.45,62.45,62.3,1.30%,46.97,47.147,46.9,0.09%
1181,05/13/2001,61.65,61.65,61.4,0.49%,46.93,47.095,46.85,0.15%
1182,05/06/2001,61.35,61.35,61.1,-0.16%,46.86,46.912,46.77,0.19%
1183,04/29/2001,61.45,61.45,61.2,0.33%,46.77,46.885,46.627,-0.14%
1184,04/22/2001,61.25,61.25,61.0,0.00%,46.835,46.915,46.745,0.03%
1185,04/15/2001,61.25,61.25,61.0,1.78%,46.82,47.11,46.66,-0.04%
1186,04/08/2001,60.18,60.18,60.13,-2.15%,46.84,46.99,46.53,0.59%
1187,04/01/2001,61.5,61.5,61.0,1.23%,46.565,46.69,46.535,-0.31%
1188,03/25/2001,60.75,60.75,60.6,1.08%,46.71,46.875,46.64,0.11%
1189,03/18/2001,60.1,60.1,59.3,0.97%,46.66,46.96,46.62,-0.01%
1190,03/11/2001,59.52,59.52,59.05,-0.84%,46.665,46.747,46.465,0.31%
1191,03/04/2001,60.025,60.025,59.15,0.67%,46.52,46.625,46.26,-0.04%
1192,02/25/2001,59.625,59.625,59.3,-0.79%,46.54,46.717,46.5,-0.12%
1193,02/18/2001,60.1,60.1,59.3,3.00%,46.595,46.712,46.395,0.17%
1194,02/11/2001,58.35,58.35,57.9,-1.02%,46.515,46.677,46.395,0.14%
1195,02/04/2001,58.95,58.95,58.55,0.00%,46.45,46.572,46.35,0.12%
1196,01/28/2001,58.95,58.95,58.4,0.21%,46.395,46.58,46.345,-0.18%
1197,01/21/2001,58.825,58.825,58.5,0.30%,46.48,46.54,46.33,0.23%
1198,01/14/2001,58.65,58.65,58.2,0.86%,46.375,46.675,46.365,-0.34%
1199,01/07/2001,58.15,58.15,57.3,-1.61%,46.535,46.76,46.525,-0.36%
1200,12/31/2000,59.1,59.1,58.9,1.63%,46.705,46.826,46.655,0.05%
1201,12/24/2000,58.15,58.15,57.8,0.00%,46.68,46.835,46.62,-0.02%
1202,12/17/2000,58.15,58.15,57.8,0.00%,46.69,46.86,46.65,-0.14%
1203,12/10/2000,58.15,58.15,57.8,3.93%,46.755,46.822,46.51,0.06%
1204,12/03/2000,55.95,55.95,55.4,-3.20%,46.725,46.915,46.675,-0.26%
1205,11/26/2000,57.8,57.8,57.6,1.40%,46.845,46.942,46.425,0.10%
1206,11/19/2000,57.0,57.0,56.8,0.00%,46.8,46.99,46.75,-0.03%
1207,11/12/2000,57.0,57.0,56.75,1.51%,46.815,46.935,46.635,0.17%
1208,11/05/2000,56.15,56.15,56.0,-1.49%,46.735,46.815,46.565,0.25%
1209,10/29/2000,57.0,57.0,56.9,2.29%,46.62,46.99,46.527,-0.32%
1210,10/22/2000,55.725,55.725,55.35,-0.40%,46.77,46.865,46.33,0.91%
1211,10/15/2000,55.95,55.95,55.85,-4.11%,46.35,46.427,46.2,-0.06%
1212,10/08/2000,58.35,58.35,58.0,-2.02%,46.38,46.5,46.07,0.50%
1213,10/01/2000,59.55,59.55,59.3,2.23%,46.15,46.28,46.05,0.37%
1214,09/24/2000,58.25,58.25,58.0,0.87%,45.98,46.28,45.78,-0.22%
1215,09/17/2000,57.75,57.75,57.6,5.48%,46.08,46.5,45.8,0.67%
1216,09/10/2000,54.75,54.75,54.6,0.32%,45.775,45.855,45.575,0.30%
1217,09/03/2000,54.575,54.575,54.35,-0.05%,45.64,45.84,45.62,-0.35%
1218,08/27/2000,54.6,54.6,54.4,-0.09%,45.8,45.98,45.56,-0.17%
1219,08/20/2000,54.65,54.65,54.4,0.92%,45.88,46.05,45.4,0.13%
1220,08/13/2000,54.15,54.15,53.8,1.69%,45.82,46.055,45.65,0.04%
1221,08/06/2000,53.25,53.25,53.05,0.09%,45.8,46.16,45.4,0.91%
1222,07/30/2000,53.2,53.2,52.95,-0.37%,45.385,45.745,44.875,1.11%
1223,07/23/2000,53.395,53.395,53.37,1.16%,44.885,45.02,44.675,0.39%
1224,07/16/2000,52.785,52.785,52.75,0.98%,44.71,45.16,44.54,0.01%
1225,07/09/2000,52.275,52.275,52.1,-0.14%,44.705,44.785,44.675,0.00%
1226,07/02/2000,52.35,52.35,52.15,0.05%,44.705,44.83,44.33,0.12%
1227,06/25/2000,52.325,52.325,52.15,0.24%,44.65,44.735,44.55,-0.06%
1228,06/18/2000,52.2,52.2,52.0,0.48%,44.675,45.075,44.575,-0.12%
1229,06/11/2000,51.95,51.95,51.7,-0.10%,44.73,44.877,44.7,-0.04%
1230,06/04/2000,52.0,52.0,51.75,-0.14%,44.75,45.02,44.6,0.34%
1231,05/28/2000,52.075,52.075,52.05,0.34%,44.6,44.76,44.3,0.70%
1232,05/21/2000,51.9,51.9,51.899,0.01%,44.29,44.83,43.89,0.80%
1233,05/14/2000,51.895,51.895,51.89,0.04%,43.94,44.1,43.715,-0.14%
1234,05/07/2000,51.875,51.875,51.85,-0.14%,44.0,44.23,43.7,0.80%
1235,04/30/2000,51.95,51.95,51.7,0.00%,43.65,43.712,43.6,0.00%
1236,04/23/2000,51.95,51.95,51.7,0.10%,43.65,43.712,43.6,0.06%
1237,04/16/2000,51.9,51.9,51.8,-0.05%,43.625,43.74,43.625,-0.09%
1238,04/09/2000,51.925,51.925,51.75,0.05%,43.665,43.735,43.625,0.10%
1239,04/02/2000,51.9,51.9,51.7,0.00%,43.62,43.685,43.59,0.05%
1240,03/26/2000,51.9,51.9,51.7,-0.05%,43.6,43.672,43.55,0.06%
1241,03/19/2000,51.925,51.925,51.75,0.00%,43.575,43.68,43.555,-0.01%
1242,03/12/2000,51.925,51.925,51.75,0.14%,43.58,43.66,43.52,0.01%
1243,03/05/2000,51.85,51.85,51.6,-0.05%,43.575,43.68,43.575,-0.06%
1244,02/27/2000,51.875,51.875,51.65,-0.19%,43.6,43.672,43.5,-0.11%
1245,02/20/2000,51.975,51.975,51.75,0.16%,43.65,43.68,43.55,0.02%
1246,02/13/2000,51.89,51.89,51.885,-0.07%,43.64,43.74,43.54,0.08%
1247,02/06/2000,51.925,51.925,51.75,0.06%,43.605,43.69,43.545,0.01%
1248,01/30/2000,51.895,51.895,51.89,0.01%,43.6,43.685,43.55,0.00%
1249,01/23/2000,51.892,51.892,51.885,0.08%,43.6,43.8,43.53,0.09%
1250,01/16/2000,51.85,51.85,51.7,-0.09%,43.56,43.63,43.51,0.14%
1251,01/09/2000,51.898,51.898,51.895,0.01%,43.5,43.582,43.45,0.03%
1252,01/02/2000,51.895,51.895,51.89,0.15%,43.485,43.617,43.415,-0.03%
